annee;numDepartement;nbHabitantsDepartement;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;recettesAE;tauxOccupationAE;populationDepartement
1991;2;537259;;37;7531;;;592127,1217;2795538,35;;;;;;;;;537259
2006;5;140916;22;34;4875;;20862;472145;2863332,14;16,12298469;6;7;1068;4904;137996;742907;20,05580909;140916
1992;2;537259;15;36;7338;;21474;525640;2584499,96;12,4172688;;;;;;;;537259
2007;5;140916;22;34;4875;;20355;430185;2621643,42;15,07835973;6;7;1068;4775;126241;687203;18,43399866;140916
1993;2;537259;15;36;7338;;21894;679910;3357086,99;15,5867551;;;;;;;;537259
2008;5;140916;22;34;4875;;20176;423742;2559350,84;14,85665121;6;7;1068;4824;125050;690230;17,89819;140916
1994;2;537259;15;36;7338;;21354;578064;2836689,83;13,82856109;;;;;;;;537259
2009;5;140916;22;34;4875;;20122;422973;2556563,08;15,1381796;6;7;1068;4669;121661;670581;18,18658814;140916
1995;2;535842;16;37;7399;;21353;593027;3048701,81;14,25156496;;;;;;;;535842
2010;5;140916;22;34;4875;;19768;425525;2672135,97;15,49893626;6;7;1068;4314;114133;647014;18,58919337;140916
1996;2;535842;17;39;8138;;23345;635126;3261611,79;13,92939919;;;;;;;;535842
2011;5;140916;22;34;4875;;19305;444810;2820516,27;16,62953021;5;6;908;4320;122591;689180;20,04880099;140916
1997;2;535842;15;37;7443;;24849;707342;3596401,91;14,86821611;;;;;;;;535842
2012;5;140916;22;34;4875;;21519;405732;2642607,6;12,63071777;5;6;908;4280;108255;639741;18,05459658;140916
1998;2;535842;15;38;7524;;26084;877053;4583123,94;18,0408641;;;;;;;;535842
2013;5;140916;23;35;5020;;21493;385291;2519496,48;12,82986134;5;6;908;4503;111672;656725;17,57197346;140916
1999;2;535842;15;38;7524;;26210;689729;3499969,34;14,12937555;;;;;;;;535842
2014;5;140916;22;34;4950;;22454;422463;2650064,97;13,14840543;5;6;908;4815;122738;716416;17,98040201;140916
2000;2;535842;15;38;7515;;26324;713556;3663639,85;14,81735282;;;;;;;;535842
2015;5;140916;22;34;4995;;21917;429921;2711563,69;13,97439031;6;7;1068;5566;129075;766304;16,25068931;140916
2001;2;535842;15;38;7403;;28176;777142;4127414,01;14,99736774;;;;;;;;535842
2016;5;140916;23;35;4814;;22532;454830;2850976,73;14,90004557;7;8;1342;7062;166943;967779;13,96512379;140916
2017;5;140916;23;35;5201;;22993;444883;2810718,23;13,4867713;6;7;1185;5940;129646;777910;14,64787523;140916
2018;5;140916;23;35;5201;;23561;432575;2718203,43;12,67356477;7;8;1455;5675;119986;699110;13,29876728;140916
2019;5;140916;23;38;5378;;28115;483373;3075462,35;12,68347325;8;9;1640;7418;157309;915492;13,17890959;140916
2020;5;140916;23;38;5378;;16505;171421;1068785,6;7,939678802;8;9;1640;3751;56339;328861;9,569614491;140916
2002;6;1011326;42;94;16764;2;109763;3498996;21693536,9;18,95821072;9;21;2948;23948;482303;2675761;14,87471148;1011326
2003;6;1073184;40;92;16080;2;113057;3303214;20828321,92;17,69631038;9;17;2750;17317;467509;2677324;17,11633244;1073184
2004;6;1073184;42;93;16096;1;114581;3659566;23510439,74;19,59991298;11;21;2971;21386;622080;3542218;20,86565221;1073184
2005;6;1082440;42;93;15984;1;109699;3156489;20418358,63;17,96861035;12;26;3646;29516;710461;4068557;17,71619811;1082440
2006;6;1082440;42;93;15984;1;111502;3284058;21323643,96;18,30074662;11;23;3472;29957;767004;4489910;17,98825727;1082440
2007;6;1082440;41;92;15824;1;113330;3120909;20226151,16;17,03868889;10;20;3095;27074;629585;3717904;15,77684653;1082440
2008;6;1082440;41;93;15874;1;120406;3379489;22117980,86;17,43784108;11;24;3319;31562;686470;4047112;16,07058538;1082440
2009;6;1082440;42;94;15974;1;116996;3658883;24430300,67;19,80097517;11;24;3319;31370;719947;4251597;17,39171292;1082440
2010;6;1082440;41;96;16886;1;121089;3967822;27823136,42;19,96877123;11;24;3319;30808;740611;4494425;18,20187511;1082440
2011;6;1082440;40;95;16786;1;126729;3990493;27753902,55;18,8879049;11;24;3319;31566;763020;4619020;18,19632196;1082440
2012;6;1082440;39;94;16666;1;125457;3755853;26528120,53;17,74572387;10;23;3142;30527;681638;4193687;16,78245819;1082440
2013;6;1082440;42;97;17390;1;128410;3576917;25344054,64;16,57959435;10;23;3142;31214;677029;4121544;16,39302147;1082440
2014;6;1082440;43;99;17762;1;128059;3778631;26188925,97;17,57246478;10;23;3142;31611;729423;4365122;17,48255754;1082440
2015;6;1082440;44;109;19323;2;133103;3692148;25869601,16;16,66056811;11;24;3254;32067;701703;4237537;16,61191332;1082440
2016;6;1082440;43;110;18815;2;145483;3958916;28211536,56;16,40625926;11;26;3578;32741;747499;4538340;17,43020389;1082440
1966;3;386533;;39;18968;;;1380363;736154,3516;;;;;;;;;386533
2017;6;1082440;43;107;18273;2;148670;3809843;27384430,68;15,31203372;12;28;3943;37632;763018;4710996;15,08497902;1082440
1967;3;386533;;38;18702;;;1315849;746601,9876;;;;;;;;;386533
2018;6;1082440;45;117;20464;3;166244;3874644;28194291,13;13,88678318;13;29;4241;38285;786497;4803942;14,6260995;1082440
1968;3;386533;;40;19608;;;1270958;744482,9463;;;;;;;;;386533
2019;6;1082440;43;115;19491;3;160360;4067898;30194810,78;15,39106196;15;33;4784;43073;970898;5986762;16,13073817;1082440
